"Name","ID","DisplayName","Group","Enabled","Profile","Platform","Direction","Action","EdgeTraversalPolicy","LSM","PrimaryStatus","Status","EnforcementStatus","PolicyStoreSourceType","Caption","Description","ElementName","InstanceID","CommonName","PolicyKeywords","PolicyDecisionStrategy","PolicyRoles","ConditionListType","CreationClassName","ExecutionStrategy","Mandatory","PolicyRuleName","Priority","RuleUsage","SequencedActions","SystemCreationClassName","SystemName","DisplayGroup","LocalOnlyMapping","LooseSourceMapping","Owner","Platforms","PolicyStoreSource","Profiles","RuleGroup","StatusCode","PSComputerName"
"vm-monitoring-dcom","vm-monitoring-dcom","Virtual Machine Monitoring (DCOM-In)","@icsvc.dll,-700","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Allow DCOM traffic for remote Windows Management Instrumentation.","@icsvc.dll,-709","vm-monitoring-dcom",,,"2",,"3","MSFT|FW|FirewallRule|vm-monitoring-dcom","2",,"",,,"3","","","Virtual Machine Monitoring","False","False",,"System.String[]","PersistentStore","0","@icsvc.dll,-700","65536",
"vm-monitoring-icmpv4","vm-monitoring-icmpv4","Virtual Machine Monitoring (Echo Request - ICMPv4-In)","@icsvc.dll,-700","True","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Echo Request messages are sent as ping requests to other nodes.","@icsvc.dll,-701","vm-monitoring-icmpv4",,,"2",,"3","MSFT|FW|FirewallRule|vm-monitoring-icmpv4","2",,"",,,"3","","","Virtual Machine Monitoring","False","False",,"System.String[]","PersistentStore","0","@icsvc.dll,-700","65536",
"vm-monitoring-icmpv6","vm-monitoring-icmpv6","Virtual Machine Monitoring (Echo Request - ICMPv6-In)","@icsvc.dll,-700","True","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Echo Request messages are sent as ping requests to other nodes.","@icsvc.dll,-703","vm-monitoring-icmpv6",,,"2",,"3","MSFT|FW|FirewallRule|vm-monitoring-icmpv6","2",,"",,,"3","","","Virtual Machine Monitoring","False","False",,"System.String[]","PersistentStore","0","@icsvc.dll,-700","65536",
"vm-monitoring-nb-session","vm-monitoring-nb-session","Virtual Machine Monitoring (NB-Session-In)","@icsvc.dll,-700","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Allow NetBIOS Session Service connections.","@icsvc.dll,-705","vm-monitoring-nb-session",,,"2",,"3","MSFT|FW|FirewallRule|vm-monitoring-nb-session","2",,"",,,"3","","","Virtual Machine Monitoring","False","False",,"System.String[]","PersistentStore","0","@icsvc.dll,-700","65536",
"vm-monitoring-rpc","vm-monitoring-rpc","Virtual Machine Monitoring (RPC)","@icsvc.dll,-700","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Allow Task Scheduler service to be remotely managed via RPC/TCP.","@icsvc.dll,-707","vm-monitoring-rpc",,,"2",,"3","MSFT|FW|FirewallRule|vm-monitoring-rpc","2",,"",,,"3","","","Virtual Machine Monitoring","False","False",,"System.String[]","PersistentStore","0","@icsvc.dll,-700","65536",
"SNMPTRAP-In-UDP","SNMPTRAP-In-UDP","SNMP Trap Service (UDP In)","@firewallapi.dll,-50323","False","Private, Public","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the SNMP Trap Service to allow SNMP traps. [UDP 162]","@firewallapi.dll,-50327","SNMPTRAP-In-UDP",,,"2",,"3","MSFT|FW|FirewallRule|SNMPTRAP-In-UDP","2",,"",,,"3","","","SNMP Trap","False","False",,"System.String[]","PersistentStore","6","@firewallapi.dll,-50323","65536",
"SNMPTRAP-In-UDP-NoScope","SNMPTRAP-In-UDP-NoScope","SNMP Trap Service (UDP In)","@firewallapi.dll,-50323","False","Domain","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the SNMP Trap Service to allow SNMP traps. [UDP 162]","@firewallapi.dll,-50327","SNMPTRAP-In-UDP-NoScope",,,"2",,"3","MSFT|FW|FirewallRule|SNMPTRAP-In-UDP-NoScope","2",,"",,,"3","","","SNMP Trap","False","False",,"System.String[]","PersistentStore","1","@firewallapi.dll,-50323","65536",
"Microsoft-Windows-Unified-Telemetry-Client","Microsoft-Windows-Unified-Telemetry-Client","Connected User Experiences and Telemetry","DiagTrack","True","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Unified Telemetry Client Outbound Traffic","@%windir%\system32\diagtrack.dll,-3001","Microsoft-Windows-Unified-Telemetry-Client",,,"2",,"3","MSFT|FW|FirewallRule|Microsoft-Windows-Unified-Telemetry-Client","2",,"",,,"3","","","DiagTrack","False","False",,"System.String[]","PersistentStore","0","DiagTrack","65536",
"DeliveryOptimization-TCP-In","DeliveryOptimization-TCP-In","Delivery Optimization (TCP-In)","@%systemroot%\system32\dosvc.dll,-100","True","Any","System.String[]","Inbound","Allow","Allow","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule to allow Delivery Optimization to connect to remote endpoints","@%systemroot%\system32\dosvc.dll,-102","DeliveryOptimization-TCP-In",,,"2",,"3","MSFT|FW|FirewallRule|DeliveryOptimization-TCP-In","2",,"",,,"3","","","Delivery Optimization","False","False",,"System.String[]","PersistentStore","0","@%systemroot%\system32\dosvc.dll,-100","65536",
"DeliveryOptimization-UDP-In","DeliveryOptimization-UDP-In","Delivery Optimization (UDP-In)","@%systemroot%\system32\dosvc.dll,-100","True","Any","System.String[]","Inbound","Allow","Allow","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule to allow Delivery Optimization to connect to remote endpoints","@%systemroot%\system32\dosvc.dll,-103","DeliveryOptimization-UDP-In",,,"2",,"3","MSFT|FW|FirewallRule|DeliveryOptimization-UDP-In","2",,"",,,"3","","","Delivery Optimization","False","False",,"System.String[]","PersistentStore","0","@%systemroot%\system32\dosvc.dll,-100","65536",
